num_thread,num_divisions,time,total_volume
1,1.0,8.102040738e-06s,-nan
1,2.0,8.451053873e-06s,40.5
1,4.0,1.927581616e-05s,21.33333333
1,8.0,9.56794247e-06s,17.04789671
1,16.0,2.095312811e-05s,15.43253333
1,32.0,6.572110578e-05s,14.72041026
1,64.0,0.0002562480513s,14.38506247
1,128.0,0.0009747759905s,14.22222783
1,256.0,0.003890865948s,14.14198097
1,512.0,0.01552595082s,14.10214541
1,1024.0,0.04239526298s,14.08229902
1,2048.0,0.157153127s,14.0723936
1,4096.0,0.6264717979s,14.06744532
1,8192.0,2.506056072s,14.06497229
1,16384.0,10.05089324s,14.06373605
1,32768.0,40.08489126s,14.063118
1,65536.0,162.1149136s,14.062809
1,131072.0,652.0536439s,14.0626545
1,262144.0,2614.939829s,14.06257725
2,1.0,6.481306627e-05s,-nan
2,2.0,7.130787708e-05s,40.5
2,4.0,5.419692025e-05s,21.33333333
2,8.0,6.565102376e-05s,17.04789671
2,16.0,7.668510079e-05s,15.43253333
2,32.0,9.281886742e-05s,14.72041026
2,64.0,0.0001848698594s,14.38506247
2,128.0,0.0005597078707s,14.22222783
2,256.0,0.00201380509s,14.14198097
2,512.0,0.00782865705s,14.10214541
2,1024.0,0.02573408792s,14.08229902
2,2048.0,0.0783936209s,14.0723936
2,4096.0,0.3193804601s,14.06744532
2,8192.0,1.258919459s,14.06497229
2,16384.0,5.0633232s,14.06373605
2,32768.0,28.27163292s,14.063118
2,65536.0,82.12894692s,14.062809
2,131072.0,340.9301919s,14.0626545
2,262144.0,1311.970104s,14.06257725
3,1.0,8.422811516e-05s,-nan
3,2.0,0.0001002929639s,40.5
3,4.0,8.003809489e-05s,21.33333333
3,8.0,7.598684169e-05s,17.04789671
3,16.0,7.850094698e-05s,15.43253333
3,32.0,0.0002425599378s,14.72041026
3,64.0,0.000160216121s,14.38506247
3,128.0,0.0003953720443s,14.22222783
3,256.0,0.001531969057s,14.14198097
3,512.0,0.005397761008s,14.10214541
3,1024.0,0.01830311795s,14.08229902
3,2048.0,0.05882480484s,14.0723936
3,4096.0,0.220517644s,14.06744532
3,8192.0,0.8580205599s,14.06497229
3,16384.0,11.74663794s,14.06373605
3,32768.0,14.78736707s,14.063118
3,65536.0,55.34281733s,14.062809
3,131072.0,259.4245655s,14.0626545
3,262144.0,878.4369746s,14.06257725
4,1.0,0.0001427559182s,-nan
4,2.0,0.0001398231834s,40.5
4,4.0,0.0001482041553s,21.33333333
4,8.0,0.0001160069369s,17.04789671
4,16.0,0.0002589721698s,15.43253333
4,32.0,0.0001295560505s,14.72041026
4,64.0,0.0001853590365s,14.38506247
4,128.0,0.0003601741046s,14.22222783
4,256.0,0.001095322892s,14.14198097
4,512.0,0.004016446881s,14.10214541
4,1024.0,0.01521573984s,14.08229902
4,2048.0,0.043754932s,14.0723936
4,4096.0,0.1627806989s,14.06744532
4,8192.0,0.6678988561s,14.06497229
4,16384.0,2.560961045s,14.06373605
4,32768.0,10.14751857s,14.063118
4,65536.0,41.36616575s,14.062809
4,131072.0,165.3608636s,14.0626545
4,262144.0,662.7376642s,14.06257725
5,1.0,0.000175512163s,-nan
5,2.0,0.0001441519707s,40.5
5,4.0,0.0001483431552s,21.33333333
5,8.0,0.000156374881s,17.04789671
5,16.0,0.0001415689476s,15.43253333
5,32.0,0.0001610550098s,14.72041026
5,64.0,0.0001929719001s,14.38506247
5,128.0,0.0003301398829s,14.22222783
5,256.0,0.0009170889389s,14.14198097
5,512.0,0.003245953936s,14.10214541
5,1024.0,0.01258732309s,14.08229902
5,2048.0,0.03859245102s,14.0723936
5,4096.0,0.1269736409s,14.06744532
5,8192.0,0.51342622s,14.06497229
5,16384.0,2.046710472s,14.06373605
5,32768.0,8.162766397s,14.063118
5,65536.0,33.00366835s,14.062809
5,131072.0,132.6242702s,14.0626545
5,262144.0,531.0567404s,14.06257725
6,1.0,0.0002054739743s,-nan
6,2.0,0.0001435938757s,40.5
6,4.0,0.0001742548775s,21.33333333
6,8.0,0.0001890610438s,17.04789671
6,16.0,0.0001885020174s,15.43253333
6,32.0,0.0001806099899s,14.72041026
6,64.0,0.0002132968511s,14.38506247
6,128.0,0.0003304199781s,14.22222783
6,256.0,0.0008474560454s,14.14198097
6,512.0,0.00276090391s,14.10214541
6,1024.0,0.01054627402s,14.08229902
6,2048.0,0.03349450906s,14.0723936
6,4096.0,0.1120932039s,14.06744532
6,8192.0,0.4233488219s,14.06497229
6,16384.0,1.694868797s,14.06373605
6,32768.0,6.772899615s,14.063118
6,65536.0,27.54097763s,14.062809
6,131072.0,110.7541202s,14.0626545
6,262144.0,441.3333767s,14.06257725
7,1.0,0.0002392760944s,-nan
7,2.0,0.0002230028622s,40.5
7,4.0,0.0002051950432s,21.33333333
7,8.0,0.0002123180311s,17.04789671
7,16.0,0.0002106421161s,15.43253333
7,32.0,0.0002446540166s,14.72041026
7,64.0,0.0002531050704s,14.38506247
7,128.0,0.0003693921026s,14.22222783
7,256.0,0.0007588281296s,14.14198097
7,512.0,0.002434184775s,14.10214541
7,1024.0,0.009070104919s,14.08229902
7,2048.0,0.0262874281s,14.0723936
7,4096.0,0.09227499599s,14.06744532
7,8192.0,0.3593654751s,14.06497229
7,16384.0,1.465431672s,14.06373605
7,32768.0,5.772190943s,14.063118
7,65536.0,23.83900333s,14.062809
7,131072.0,94.88522339s,14.0626545
7,262144.0,378.2663481s,14.06257725
8,1.0,0.02192317205s,-nan
8,2.0,0.02648549783s,40.5
8,4.0,0.02661149204s,21.33333333
8,8.0,0.02764591505s,17.04789671
8,16.0,0.02729195799s,15.43253333
8,32.0,0.02719662385s,14.72041026
8,64.0,0.02777805505s,14.38506247
8,128.0,0.02738058707s,14.22222783
8,256.0,0.02732813498s,14.14198097
8,512.0,0.0287146999s,14.10214541
8,1024.0,0.03090974595s,14.08229902
8,2048.0,0.05201989599s,14.0723936
8,4096.0,0.1756956892s,14.06744532
8,8192.0,0.46091568s,14.06497229
8,16384.0,1.605856017s,14.06373605
8,32768.0,6.29683874s,14.063118
8,65536.0,24.28888674s,14.062809
8,131072.0,95.83466936s,14.0626545
8,262144.0,376.8443075s,14.06257725
